category,assumptions,t0,t1
2,\left( \left( \left( \left( A = \left( \begin{array}{cc}5.332682258719769& -1.8911265807015853\\5.706667708017646& 1.8952872780883734\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.858194735982529& 2.5306254159096575\\-3.4654196445197947& -0.7555687758428462\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}1.0309627756251967& 3.368355706491771\\1.3644422738413784& 4.976260045701716\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}12.434032027114414& 17.49718473984031\\2.4653105253353624& 2.9491656592423823\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"C^{T}\,A^{-T-1} = B^{-T} + 2\,X","C^{T}\,\left( A^{-T}\right)^{-1}-B^{-T} = +2\,X"
2,\left( \left( \left( \left( A = \left( \begin{array}{cc}5.332682258719769& -1.8911265807015853\\5.706667708017646& 1.8952872780883734\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.858194735982529& 2.5306254159096575\\-3.4654196445197947& -0.7555687758428462\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}1.0309627756251967& 3.368355706491771\\1.3644422738413784& 4.976260045701716\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}12.434032027114414& 17.49718473984031\\2.4653105253353624& 2.9491656592423823\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"C^{T}\,\left( A^{-T}\right)^{-1}-B^{-T} = +2\,X","X = \frac{C^{T}\,\left( A^{-T}\right)^{-1}-B^{-T}}{2}"
2,\left( \left( \left( \left( A = \left( \begin{array}{cc}5.332682258719769& -1.8911265807015853\\5.706667708017646& 1.8952872780883734\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.858194735982529& 2.5306254159096575\\-3.4654196445197947& -0.7555687758428462\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}1.0309627756251967& 3.368355706491771\\1.3644422738413784& 4.976260045701716\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}12.434032027114414& 17.49718473984031\\2.4653105253353624& 2.9491656592423823\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"A^{-T}\,(B^{-T} + 2\,X) = C^{T}","A^{-T-1}\,C^{T} = B^{-T} + 2\,X"
2,\left( \left( \left( \left( A = \left( \begin{array}{cc}5.332682258719769& -1.8911265807015853\\5.706667708017646& 1.8952872780883734\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.858194735982529& 2.5306254159096575\\-3.4654196445197947& -0.7555687758428462\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}1.0309627756251967& 3.368355706491771\\1.3644422738413784& 4.976260045701716\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}12.434032027114414& 17.49718473984031\\2.4653105253353624& 2.9491656592423823\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"A^{-T-1}\,C^{T} = B^{-T} + 2\,X","C^{T}\,\left( A^{-T}\right)^{-1}-B^{-T} = +2\,X"
2,\left( \left( \left( \left( A = \left( \begin{array}{cc}1.922576079226399& -4.576616558675303\\-4.94797783529042& -2.238155681081392\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}1.0600335481039798& -0.29630740247800347\\0.5061103881171887& -2.632896574095165\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-4.918969157448059& -1.8949581467276038\\3.0828092840687678& -2.413856000413519\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.13262052772339605& 0.563908895153074\\0.2738127664142439& 0.17776360089030946\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"\left( A^{-T}\right)^{-1}\,C^{-1} = B^{-1} + 3\,X","3\,X = B^{-1}\,\left( A^{-T}\right)^{-1}\,C^{-1}"
2,\left( \left( \left( \left( A = \left( \begin{array}{cc}1.922576079226399& -4.576616558675303\\-4.94797783529042& -2.238155681081392\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}1.0600335481039798& -0.29630740247800347\\0.5061103881171887& -2.632896574095165\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-4.918969157448059& -1.8949581467276038\\3.0828092840687678& -2.413856000413519\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.13262052772339605& 0.563908895153074\\0.2738127664142439& 0.17776360089030946\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"3\,X = B^{-1}\,\left( A^{-T}\right)^{-1}\,C^{-1}","X = \frac{B^{-1}\,\left( A^{-T}\right)^{-1}\,C^{-1}}{3}"
2,\left( \left( \left( \left( A = \left( \begin{array}{cc}1.922576079226399& -4.576616558675303\\-4.94797783529042& -2.238155681081392\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}1.0600335481039798& -0.29630740247800347\\0.5061103881171887& -2.632896574095165\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-4.918969157448059& -1.8949581467276038\\3.0828092840687678& -2.413856000413519\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.13262052772339605& 0.563908895153074\\0.2738127664142439& 0.17776360089030946\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"\left( A^{-T}\right)^{-1}\,C^{-1} = B^{-1} + 3\,X","3\,X = \left( A^{-T}\right)^{-1}\,C^{-1}\,B^{-1}"
2,\left( \left( \left( \left( A = \left( \begin{array}{cc}1.922576079226399& -4.576616558675303\\-4.94797783529042& -2.238155681081392\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}1.0600335481039798& -0.29630740247800347\\0.5061103881171887& -2.632896574095165\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-4.918969157448059& -1.8949581467276038\\3.0828092840687678& -2.413856000413519\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.13262052772339605& 0.563908895153074\\0.2738127664142439& 0.17776360089030946\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"3\,X = \left( A^{-T}\right)^{-1}\,C^{-1}\,B^{-1}","X = \left( \frac{\left( A^{-T}\right)^{-1}\,C^{-1}}{3}\right)^{B^{-1}}"
2,\left( \left( \left( \left( A = \left( \begin{array}{cc}1.922576079226399& -4.576616558675303\\-4.94797783529042& -2.238155681081392\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}1.0600335481039798& -0.29630740247800347\\0.5061103881171887& -2.632896574095165\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-4.918969157448059& -1.8949581467276038\\3.0828092840687678& -2.413856000413519\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.13262052772339605& 0.563908895153074\\0.2738127664142439& 0.17776360089030946\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"\left( A^{-T}\right)^{-1}\,C^{-1} = B^{-1} + 3\,X","3\,X = B\,\left( A^{-T}\right)^{-1}\,C^{-1}"
2,\left( \left( \left( \left( A = \left( \begin{array}{cc}1.922576079226399& -4.576616558675303\\-4.94797783529042& -2.238155681081392\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}1.0600335481039798& -0.29630740247800347\\0.5061103881171887& -2.632896574095165\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-4.918969157448059& -1.8949581467276038\\3.0828092840687678& -2.413856000413519\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.13262052772339605& 0.563908895153074\\0.2738127664142439& 0.17776360089030946\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"3\,X = B\,\left( A^{-T}\right)^{-1}\,C^{-1}","X = \frac{B\,\left( A^{-T}\right)^{-1}\,C^{-1}}{3}"
