category,assumptions,t0,t1
2,\textrm{wahr},"\left|-7\,x + 4\right|  > 2","\left( -7\,x + 4 > 2\right) \wedge \left( -7\,x + 4 < -2\right)"
2,\textrm{wahr},"\left|-3\,x-5\right| \ge 5","\left( -3\,x-5\ge 5\right) \wedge \left( -3\,x-5\le -5\right)"
2,\textrm{wahr},"\left( -3\,x-5\ge 5\right) \vee \left( -3\,x-5\le -5\right)","\left( -3\,x\ge 10\right) \wedge \left( -3\,x\le 0\right)"
1,n > 5,"\lim_{n \to \infty } \frac{n^{7}}{7-6\,n^{6} + 2\,n^{7}}","\lim_{n \to \infty } \frac{n^{7}}{2}\,n^{7}"
1,n > 5,"\lim_{n \to \infty } \frac{\sqrt{9\,n^{2}-4\,n + 1}-4\,n-5}{7\,n + 2}","\lim_{n \to \infty } \frac{\sqrt{9\,n^{2}-4\,n + 1}}{7\,n + 2}-\frac{-4\,n-5}{7\,n + 2}"
1,n > 5,"\lim_{n \to \infty } \frac{\sqrt{9\,n^{2}-4\,n + 1}-4\,n-5}{7\,n + 2}","\lim_{n \to \infty } \left(\frac{\sqrt{9\,n^{2}-4\,n + 1}}{7\,n + 2}-\frac{-4\,n-5}{7\,n + 2}\right) "
1,n > 5,"\lim_{n \to \infty } \left(\frac{\sqrt{9\,n^{2}-4\,n + 1}}{7\,n + 2} + \frac{-4\,n-5}{7\,n + 2}\right) ","\lim_{n \to \infty } \left(\frac{9\,n^{2}-4\,n + 1}{\left( 7\,n + 2\right)^{2}} + \frac{\left( -4\,n-5\right)^{2}}{\left( 7\,n + 2\right)^{2}}\right) "
1,n > 5,"\lim_{n \to \infty } \left(\frac{7\,n^{3}}{1-7\,n^{2}-5\,n^{3}} + \frac{4\,n^{4}}{8-6\,n^{3}-2\,n^{4}}\right) ","\lim_{n \to \infty } \frac{7\,n^{3}}{-5\,n^{3}} + \lim_{n \to \infty } \frac{4\,n^{4}}{-2\,n^{4}}"
1,n > 5,"\lim_{n \to \infty } \left(\frac{7\,n^{3}}{1-7\,n^{2}-5\,n^{3}} + \frac{4\,n^{4}}{8-6\,n^{3}-2\,n^{4}}\right) ","\lim_{n \to \infty } \frac{7\,n^{3}}{-5\,n^{3}} + \frac{4\,n^{4}}{-2\,n^{4}}"
1,n > 5,"\lim_{n \to \infty } \left(\frac{7\,n^{3}}{1-7\,n^{2}-5\,n^{3}} + \frac{4\,n^{4}}{8-6\,n^{3}-2\,n^{4}}\right) ","\lim_{n \to \infty } \left(\frac{7\,n^{3}}{-5\,n^{3}} + \frac{4\,n^{4}}{-2\,n^{4}}\right) "
1,n > 5,"\lim_{n \to \infty } \left(\frac{\sqrt{9\,n^{2}-4\,n + 1}}{7\,n + 2} + \frac{-4\,n-5}{7\,n + 2}\right) ","\lim_{n \to \infty } \left(\frac{3\,n-2\,\sqrt{n} + 1}{7\,n + 2} + \frac{\left( -4\,n-5\right)^{2}}{7\,n + 2}\right) "
1,n > 5,"\lim_{n \to \infty } \left(\frac{\sqrt{9\,n^{2}-4\,n + 1}}{7\,n + 2} + \frac{-4\,n-5}{7\,n + 2}\right) ","\lim_{n \to \infty } \left(\frac{3\,n-2\,\sqrt{n} + 1}{7\,n + 2} + \frac{-4\,n-5}{7\,n + 2}\right) "
1,n > 5,"\lim_{n \to \infty } \left(\frac{7\,n^{3}}{1-7\,n^{2}-5\,n^{3}} + \frac{4\,n^{4}}{8-6\,n^{3}-2\,n^{4}}\right) ","\lim_{n \to \infty } \left(\frac{7\,n^{3}}{-5\,n^{3}} + \frac{4\,n^{4}}{8-6\,n^{3}-2\,n^{4}}\right) "
1,n > 5,"\lim_{n \to \infty } \left(\frac{7\,n^{3}}{1-7\,n^{2}-5\,n^{3}} + \frac{4\,n^{4}}{8-6\,n^{3}-2\,n^{4}}\right) ",\lim_{n \to \infty } \left(-\frac{7}{5} + \left(-\frac{4}{2}\right)\right) 
1,n > 5,"\lim_{n \to \infty } \left(\frac{7\,n^{3}}{1-7\,n^{2}-5\,n^{3}} + \frac{4\,n^{4}}{8-6\,n^{3}-2\,n^{4}}\right) ",\lim_{n \to \infty } \left(-\frac{7}{5}\right)  + \left(-\frac{4}{2}\right)
1,n > 5,"\lim_{n \to \infty } \left(\frac{7\,n^{3}}{1-7\,n^{2}-5\,n^{3}} + \frac{4\,n^{4}}{8-6\,n^{3}-2\,n^{4}}\right) ",-\frac{17}{5}
1,n > 5,"\lim_{n \to \infty } \left(\frac{8\,n^{5}}{5-7\,n^{4}-n^{5}} + \frac{8\,n^{7}}{1 + 4\,n^{6}-6\,n^{7}}\right) ","\lim_{n \to \infty } \left(\frac{8\,n^{5}}{-n^{5}} + \frac{8\,n^{7}}{6\,n^{7}}\right) "
1,n > 5,"\lim_{n \to \infty } \left(\frac{8\,n^{5}}{5-7\,n^{4}-n^{5}} + \frac{8\,n^{7}}{1 + 4\,n^{6}-6\,n^{7}}\right) ","\lim_{n \to \infty } \left(\frac{8\,n^{5}}{-n^{5}} + \frac{8\,n^{7}}{-6\,n^{7}}\right) "
