category,assumptions,t0,t1
2,x\ge -3,"\left|5\,x + 1\right|  + \left|x + 3\right|  = 7","5\,x + 1 + x + 3 = 7"
2,x < -3,"\left|5\,x + 1\right|  + \left|x + 3\right|  = 7","5\,x + 1-(x + 3) = 7"
2,x\ge -3,"\left|5\,x + 1\right|  + \left|x + 3\right|  = 7","-(5\,x + 1) + x + 3 = 7"
2,\left( x\neq -\frac{1}{1}\right) \wedge \left( y\neq -\frac{3}{4}\right),"(-4\,y + 3)\,x = 4\,y + 1","x = \frac{4\,y + 1}{-4\,y + 3}"
2,x\neq -\frac{1}{2},"y = f\,x","y = \frac{3\,x-4}{2\,x + 1}"
2,x\neq -\frac{1}{2},"\Leftrightarrow y = \frac{3\,x-4}{2\,x + 1}","y\,(2\,x + 1) = 3\,x-4"
2,\left( x\neq 0.6666666666666666\right) \wedge \left( x < \frac{4}{6}\right),"\frac{-4\,x + 9}{6\,x-4} < 7","-4\,x + 9 < 7\,(6\,x-4)"
2,\left( x\neq 0.6666666666666666\right) \wedge \left( x < \frac{4}{6}\right),"-46\,x < 37",x > \frac{37}{46}
2,\left( x\neq 0.6666666666666666\right) \wedge \left( x > \frac{4}{6}\right),"-4\,x + 9 > 42\,x-28","-46\,x > 37"
2,\left( x\neq 0.6666666666666666\right) \wedge \left( x > \frac{4}{6}\right),"\frac{-4\,x + 9}{6\,x-4} < 7","-4\,x + 9 > 7\,(6\,x-4)"
2,\left( \left( y\neq 0\right) \wedge \left( x\neq -1\right)\right) \wedge \left( x\neq 2\right),"x^{2}\,y-x\,y-2\,y = 1","(x\,y-y)\,x = 1"
2,x\neq -\frac{1}{2},"\Leftrightarrow y = \frac{3\,x-4}{2\,x + 1}","(2\,x + 1)\,y = 3\,x-4"
2,\left( \left( y\neq 0\right) \wedge \left( x\neq -1\right)\right) \wedge \left( x\neq 2\right),"x^{2}\,y-x\,y-2\,y = 1","(y-y)\,x = 1 + 2\,y"
2,\left( \left( y\neq 0\right) \wedge \left( x\neq -1\right)\right) \wedge \left( x\neq 2\right),"(x\,y-y)\,x = 1 + 2\,y","(y-y)\,x = 1 + 2\,y"
2,\left( x\neq -\frac{1}{1}\right) \wedge \left( y = -\frac{4}{3}\right),"(-4\,(-\frac{4}{3}) + 3)\,x = 4\,(-\frac{4}{3}) + 1","6\,x = -2"
2,\left( x\neq -\frac{1}{1}\right) \wedge \left( y\neq -\frac{4}{3}\right),"(-4\,y + 3)\,x = 4\,y + 1","x = \frac{4\,y + 1}{-4\,y + 3}"
2,\left( \left( y\neq 0\right) \wedge \left( x\neq -1\right)\right) \wedge \left( x\neq 2\right),"x^{2}\,y-x\,y-2\,y = 1","x^{2}-x\,y-2\,y-1 = 0"
2,\left( x\neq -\frac{4}{1}\right) \wedge \left( y = 1\right),"(-1-y)\,x = 4\,y + 3",0 = -1
2,\textrm{wahr},"y = 2\,\cos{\left(3\,x + 5\right)}-1","2\,\cos{\left(3\,x + 5\right)} = y-1"
2,\textrm{wahr},"y = 2\,\cos{\left(3\,x + 5\right)}-1","-2\,\cos{\left(3\,x + 5\right)} = y-1"
2,\textrm{wahr},"y = 2\,\cos{\left(3\,x + 5\right)}-1","2\,\cos{\left(1.5\,x + 2.5\right)} = y-1"
2,\textrm{wahr},"2\,\cos{\left(1.5\,x + 2.5\right)} = y-1","\cos{\left(1.5\,x + 2.5\right)} = y-1"
2,\textrm{wahr},\left( y + 1\ge -1\right) \wedge \left( y + 1\le 1\right),\left( y\ge 0\right) \wedge \left( y\le 0\right)
2,\textrm{wahr},\left( y + 1\ge -1\right) \wedge \left( y + 1\le 1\right),\left( y > 0\right) \vee \left( y < 0\right)
2,\textrm{wahr},\left( y + 1\ge -1\right) \wedge \left( y + 1\le 1\right),\left( y\ge -2\right) \wedge \left( y\le -2\right)
