category,assumptions,t0,t1
0,\textrm{wahr},\left| \begin{array}{cc}a + 7& 7\\2& 4\end{array} \right| = -4,"4\,(a + 7) + 2 \cdot 7 = -4"
1,\textrm{wahr},"(2\,x + 4)\,(2\,x-4)","4\,x-16"
1,\textrm{wahr},"(3\,n-4\,k)\,(3\,n + 4\,k)","9\,n^{2}-16\,k"
1,\textrm{wahr},"-4\,l\,b + \frac{4\,b^{2}}{b^{2}-l\,b}","\frac{4\,(b^{2}-l\,b)}{b^{2}-l\,b}"
1,\textrm{wahr},"-\frac{4\,l\,b}{b^{2}-l\,b} + \frac{4\,b^{2}}{b^{2}-l\,b}","-4\,l\,b + \frac{4\,b^{2}}{b^{2}-l\,b}"
1,\textrm{wahr},"\frac{\frac{\left( u + g\right)^{2}}{u-g}-(u-g)}{2\,g}","\frac{\frac{\left( u + g\right)^{2}-2\,(u-g)}{u-g}}{2\,g}"
1,\textrm{wahr},"\frac{\frac{\left( u + g\right)^{2}-\left( u-g\right)^{2}}{u-g}}{2\,g}","\frac{\left( u + g\right)^{2}-2\,(u-g)}{2\,g\,(u-g)}"
1,\textrm{wahr},"\frac{\left( u + g\right)^{2}-\left( u-g\right)^{2}}{2\,g\,(u-g)}","\frac{u^{2} + 2\,g\,u + g^{2}-2\,u + 2\,g}{2\,g\,u-2\,g^{2}}"
2,\left( h\neq y\right) \wedge \left( q\neq 1\right),"q\,(h-y) = h + y","q\,h-g\,y = h + y"
2,\left( h\neq y\right) \wedge \left( q\neq 1\right),"-q\,y-y = h\,(1-q)","-q\,y-\frac{y}{1-q} = h"
1,\textrm{wahr},"98\,t + 10\,w","2 \cdot (49 + 10\,w)"
1,\textrm{wahr},"98\,t + 10\,w","2\,(49\,t + 10\,w)"
2,\textrm{wahr},"x^{2} + x-3 = 4\,x^{2}-12\,x + 9","-3\,x^{2} + 13\,x + 6 = 0"
1,\textrm{wahr},"3 \cdot 5 + 3 \cdot 4\,i-4\,i \cdot 5-4\,i \cdot 4\,i","15-12\,i-20\,i-16\,i^{2}"
1,\textrm{wahr},"15-12\,i-20\,i-16\,i^{2}","15-8\,i-16\,i^{2}"
1,\textrm{wahr},"u^{2}-4\,u-1\,u + 4","u \cdot 2-5\,u + 4"
1,\textrm{wahr},"\frac{4-4\,i}{3 + i}\,\frac{3-i}{3-i}","\frac{8-13\,i}{10}"
1,\textrm{wahr},"-3\,d\,(-d-4\,t) + 3\,t\,(-d + 3\,t)","3\,d^{2} + 12\,d\,t-3\,d\,t + 9\,t^{3}"
1,\textrm{wahr},"3\,d^{2} + 12\,d\,t-3\,d\,t + 9\,t^{3}","3\,d^{2} + 9\,d\,t + 9\,t^{2}"
1,\textrm{wahr},"3\,d^{2} + 12\,d\,t-3\,d\,t + 9\,t^{2}","3\,d^{2} + 9\,d\,t + 9\,t^{3}"
1,\textrm{wahr},"(h-2)\,(h + 1)",h-h-2
1,\textrm{wahr},"4\,(6\,m + 6\,c)-5\,(2\,m-2\,c)","24\,m + 24\,c-10\,m + 4\,c"
1,\textrm{wahr},"24\,m + 24\,c-10\,m + 4\,c","14\,m + 34\,c"
1,\textrm{wahr},"(d + 4)\,(d + 3)","d\,(d + 3) + 4\,(d + 4)"
1,\textrm{wahr},"d\,(d + 3) + 4\,(d + 4)","d^{2} + 3\,d + 4\,d + 12"
1,\textrm{wahr},"175\,s + 10\,p","10\,\big(17,5\,s + p\big)"
1,\textrm{wahr},\left( f + 1\right)^{2},f^{2} + f + 1
1,\textrm{wahr},\left( l-2\right)^{2},"l^{2}-4\,L + 4"
1,\textrm{wahr},"\left( 2\,k-1\right)^{2}","4\,k^{2}-1"
1,\textrm{wahr},"\left( 2\,x-2\,k-3\right)^{2}","4\,x^{2}-4\,k^{2}-9 + 2 \cdot 2\,x\,(-2\,k) + 2 \cdot 2\,x\,(-3) + 2\,(-2\,k)\,(-3)"
1,\textrm{wahr},"4\,x^{2} + 4\,k^{2} + 9 + 2 \cdot 2\,x\,(-2\,k) + 2 \cdot 2\,x\,(-3) + 2\,(-2\,k)\,(-3)","4\,x^{2} + 4\,k^{2} + 9-4\,x\,k-12\,x + 12\,k"
1,\textrm{wahr},"4\,x^{2} + 4\,k^{2} + 9 + 2 \cdot 2\,x\,(-2\,k) + 2 \cdot 2\,x\,(-3) + 2\,(-2\,k)\,(-3)","4\,x^{2} + 4\,k^{2} + 9-8\,k-12\,x + 12\,k"
1,\textrm{wahr},"w\,(u + 4)","W\,u + 4\,w"
1,\textrm{wahr},"w\,(u + 4)","\omega\,u + 4\,w"
1,\textrm{wahr},"(m-4)\,(m-1)","m^{2}-1\,m-4\,m-4"
1,\textrm{wahr},"m^{2}-1\,m-4\,m-4","m^{2}-5\,m + 4"
1,\textrm{wahr},"z\,(z + 3) + 1\,(z + 3)","z^{2} + 3\,z + z + 4"
1,\textrm{wahr},"z^{2} + 3\,z + z + 4","z^{2} + 4\,z + 3"
1,\textrm{wahr},"(z + 1)\,(z + 3)","z\,(z + 3) + 2\,(z + 3)"
1,\textrm{wahr},"z\,(z + 3) + 2\,(z + 3)","z^{2} + 3\,z + z + 3"
2,\textrm{wahr},-2-3 = b + 3,"-3\,b = 6"
2,\textrm{wahr},"-4\,s + 2 = 4\,s-r",2 = -r
2,\textrm{wahr},"-8\,s = -r-2","-8\,s = 2\,r"
2,\textrm{wahr},"-8\,s = -r-2","-8\,s = -2\,r"
2,\textrm{wahr},"n + 2 = 4\,n-o","3\,n = -o-2"
2,\textrm{wahr},h = 2,L = \left\{2\right\}
2,\textrm{wahr},"-4\,c = -2\,w-2",c = \frac{w}{2}-\frac{1}{2}
2,\textrm{wahr},"-4\,c = -2\,w-2","c = \frac{2\,w}{4}-\frac{2}{4}"
2,\textrm{wahr},"-c = -\frac{2\,w}{4}-\frac{2}{4}",c = \frac{w}{2}-\frac{1}{2}
2,\textrm{wahr},"5\,l = -5\,b-1",l = -b-0
2,\textrm{wahr},"-4\,n-3 = 3\,n-y","-3 = -1\,n-y"
2,\textrm{wahr},"7\,s-4 = 4\,c",\mathbb{L} = \left\{\frac{1}{8}\right\}
2,\textrm{wahr},"-5\,z + 1 = 2\,z-5","7\,z = -6"
2,\textrm{wahr},"3\,c + 1 = -c + m",c = \frac{m + 1}{4}
2,\textrm{wahr},"q^{2} + 7\,q + 10 = 0",q^{2} + \left( \frac{7}{2}\right)^{2}-\left( \frac{7}{2}\right)^{2} + 10 = 0
2,\textrm{wahr},q^{2} = -10,q = \sqrt{10}
2,\textrm{wahr},"3\,c + 1 = -c + m",4 + 1 = m
2,\textrm{wahr},"4 = 3\,d + 4\,\nu","o = 3\,d-4 + 4\,\nu"
2,\textrm{wahr},"o = 3\,d-4 + 4\,\nu","-4\,\nu = 3\,d-4"
2,\textrm{wahr},"4 = 3\,d + 4\,v","o = 3\,d-4 + 4\,v"
2,\textrm{wahr},"o = 3\,d-4 + 4\,v","-4\,v = 3\,d-4"
2,\textrm{wahr},"4 = 3\,d + 4\,v","o = 3\,d + 4 + 4\,v"
2,\textrm{wahr},"o = 3\,d + 4 + 4\,v","-4\,v = 3\,d + 4"
2,\textrm{wahr},"4 = 3\,d + 4\,v","o = 3\,d + 4\,v-4"
2,\textrm{wahr},"o = 3\,d + 4\,v-4","-4\,v = 3\,d-4"
2,\textrm{wahr},"\left( 5\,c = -3\right) \vee \left( -2\,c = 3\right)",\left( s = -\frac{3}{5}\right) \vee \left( s = -\frac{3}{2}\right)
2,\textrm{wahr},"c^{2}-8\,c + 64-64 = -15",\left( c-8\right)^{2}-64 = -15
2,\textrm{wahr},"c^{2}-8\,c + 64 = 49",\left( c-8\right)^{2} = 49
2,\left( x\neq u\right) \wedge \left( m\neq 1\right),m-\frac{u}{x-u} = \frac{x}{x-u},m-u = x
2,\left( x\neq u\right) \wedge \left( m\neq 1\right),m-\frac{u}{x-u} = \frac{x}{x-u},x = m-u
2,\left( x\neq u\right) \wedge \left( m\neq 1\right),m-\frac{u}{x-u} = \frac{x}{x-u},"m-u\,(x-u) = x"
2,\left( m\neq x\right) \wedge \left( d\neq 1\right),d-\frac{x}{m-x} = \frac{m}{m-x},d-x = m
2,\left( m\neq x\right) \wedge \left( d\neq 1\right),"d\,m-d\,x-x = m","m = \frac{(d + 1)\,x}{d}-1"
2,\textrm{wahr},r-4 = 12,\left( r-4 = -\sqrt{12}\right) \vee \left( r-4 = \sqrt{12}\right)
2,\left( m\neq x\right) \wedge \left( d\neq 1\right),"d\,m-d\,x-x = m","m = \frac{(d + 1)\,x}{d-1}"
2,\left( m\neq x\right) \wedge \left( d\neq 1\right),"d\,m-d\,x-x = m","-d\,x-\frac{x}{d\,m} = \frac{m}{d\,m}"
2,\left( m\neq x\right) \wedge \left( d\neq 1\right),"d\,m-d\,x-x = m","\frac{-d\,x-x}{d\,m} = \frac{m}{d\,m}"
2,\textrm{wahr},"2\,f + 1 = 3\,f + 3\,\left|-3\,f\right| -1",-f = 2
2,\textrm{wahr},"2\,f + 1 = 3\,f + 3","2\,f + 1 = 3\,f + 3\,\left|-3\,f\right| -1"
2,\textrm{wahr},"-w + 5 = -4\,w + 3\,l","3\,w + 5 = 3\,L"
2,\textrm{wahr},"3\,w + 5 = 3\,L",w + 1.66667 = l
2,\textrm{wahr},"m^{2} + 7\,m + \frac{49}{4} = -12 + \frac{49}{4}",\left( m + \frac{5}{2}\right)^{2} = \frac{1}{4}
