category,assumptions,t0,t1
2,\textrm{wahr},"t-1\ge -4\,t-3","-3\,t\ge -2"
2,a\neq \frac{5}{4},"x\,(5 + 4\,a) = 1","x = \frac{1}{5 + 4\,a}"
2,\textrm{wahr},\left( x\le -1\right) \wedge \left( x\ge 5\right),"\mathbb{L} = \left(-\infty ,-1\right] \cup \left[5,\infty \right)"
2,\textrm{wahr},\left|x-2\right| \ge 3,\left( x-2\le -3\right) \wedge \left( x-2\ge 3\right)
2,x\neq 2,x < 15,"\mathbb{L} = \big(2,15\big)"
2,\textrm{wahr},"t-1\ge -4\,t-3","-5\,t\ge -2"
2,\textrm{wahr},"5\,t\ge -2",t\le -\frac{2}{5}
2,\textrm{wahr},"\left|8\,x + 3\right|  > 4","\left( 8\,x + 3 < -4\right) \wedge \left( 8\,x + 3 > 4\right)"
2,\textrm{wahr},\left|x + \frac{5}{2}\right| \le \frac{\sqrt{45}}{2},\left( x + \frac{5}{2}\le -\frac{\sqrt{45}}{2}\right) \wedge \left( x + \frac{5}{2}\le \frac{\sqrt{45}}{2}\right)
2,\textrm{wahr},\left( x + \frac{5}{2}\le -\frac{\sqrt{45}}{2}\right) \wedge \left( x + \frac{5}{2}\le \frac{\sqrt{45}}{2}\right),\left( x = -\frac{5}{2}-\frac{\sqrt{45}}{2}\right) \wedge \left( x\le \frac{\sqrt{45}}{2}-\frac{5}{2}\right)
2,x\neq 2,"\frac{5\,x + 3}{3\,x-6} > 2","5\,x + 3 < 2\,(3\,x-6)"
2,\textrm{wahr},"\left( -7\,x\le -6\right) \vee \left( -7\,x\ge 10\right)",\left( x\le \frac{6}{7}\right) \vee \left( x\le -\frac{10}{7}\right)
2,\textrm{wahr},"\left( -7\,x\le -6\right) \vee \left( -7\,x\ge 10\right)",\left( x\ge \frac{6}{7}\right) \vee \left( x\ge -\frac{10}{7}\right)
2,x\neq 2,x < 15,\left( x > 2\right) \wedge \left( x < 15\right)
2,x = \frac{9-\sqrt{53}}{14},"\Leftrightarrow 1,\;5086 = -1,\;5086",\textrm{falsch}
2,\textrm{wahr},"(-1-a)\,x = -5",0 = -5
2,\textrm{wahr},"(-1-a)\,x = -5",x = \frac{-5}{-1-a}
2,\textrm{wahr},"-3\,x + 3 = 2-a\,x",x = \frac{-1}{-3 + a}
2,\textrm{wahr},\left|x-2\right| \le 1.5,\left( x + 2\le 1.5\right) \wedge \left( x + 2\ge -1.5\right)
2,\textrm{wahr},\left|x-\frac{7}{3}\right| \ge \frac{7}{3},\left( x-\frac{7}{3}\ge \frac{7}{3}\right) \wedge \left( x-\frac{7}{3}\le -\frac{7}{3}\right)
2,a\neq 3,x = \frac{-1}{-3 + a},x = 0
2,a\neq -\frac{3}{2},"(-2\,a-3)\,x = 6","x = \frac{6}{2\,a + 5}"
2,\textrm{wahr},\left|x-\frac{7}{3}\right| \ge \frac{7}{3},\left( x + \frac{7}{3}\ge \frac{7}{3}\right) \wedge \left( x + \frac{7}{3}\le -\frac{7}{3}\right)
2,\textrm{wahr},"5\,x = 6-2\,a\,x","-2\,a\,x + 5\,x = 6"
2,a = \frac{5}{2},"(2\,a + 5)\,x = 6",0 = 6
2,a\neq \frac{5}{2},"(2\,a + 5)\,x = 6","x = \frac{6}{2\,a + 5}"
2,\textrm{wahr},"F\,a\,l_sqrt(2 * x^2-x-2,l)=3 * x+2","\sqrt{2\,\left( -\frac{6}{7}\right)^{2}-(-\frac{6}{7})-2} = 3\,(-\frac{6}{7}) + 2"
2,\textrm{wahr},\left|x + 1\right|  > \frac{3}{7},\left( x + 1 > \frac{3}{7}\right) \wedge \left( x + 1 < -\frac{3}{7}\right)
2,a\neq 4,"(-a + 4)\,x = 7",x = \frac{6}{-a + 4}
2,\textrm{wahr},"\left( 4\,x-1 = 0\right) \vee \left( x + 1 = 0\right)","\left( 4\,x = -1\right) \vee \left( x = -1\right)"
2,\textrm{wahr},"\left( 4\,x = -1\right) \vee \left( x = -1\right)",\left( x = 0.25\right) \vee \left( x = -1\right)
2,\textrm{wahr},"(-1-4\,a)\,x = 6","x = \frac{6}{-1-4\,a}"
2,a = -\frac{1}{4},"-1-4\,(-\frac{1}{4})\,x = 6",0 = 6
2,a\neq -\frac{1}{4},"(-1-4\,a)\,x = 6","x = -\frac{6}{1} + 4\,a"
2,a = \frac{4}{5},x = -1,\textrm{wahr}
2,a\neq \frac{4}{5},"(4 + 5\,a)\,x = -8","x = \frac{-8}{4 + 5\,a}"
