category,assumptions,t0,t1
1,n > 5,"\lim_{n \to \infty } \frac{3\,n^{6}}{3-4\,n + 4\,n^{6}} + \lim_{n \to \infty } \frac{5\,n^{5}}{4 + 8\,n^{4} + n^{5}}","\lim_{n \to \infty } \frac{3\,n^{6}}{n^{6}\,(3\,n^{-6}-4\,n^{-1} + 4)} + \lim_{n \to \infty } \frac{5\,n^{5}}{n^{5}\,(4\,n^{-5} + 8\,n^{-1} + 1)}"
1,n > 5,"\lim_{n \to \infty } \frac{3\,n^{6}}{n^{6}\,(3\,n^{-6}-4\,n^{-1} + 4)} + \lim_{n \to \infty } \frac{5\,n^{5}}{n^{5}\,(4\,n^{-5} + 8\,n^{-1} + 1)}",\frac{3}{4} + \frac{5}{1}
1,n > 5,\frac{4}{0}-\frac{4}{0},0
1,n > 5,\frac{4}{0}-\frac{4}{0},0-0
1,n > 5,\frac{4}{0}-\frac{4}{0},4-4
1,n > 5,"\lim_{n \to \infty } \left(\frac{3\,n^{6}}{3-4\,n^{5} + 4\,n^{6}} + \frac{5\,n^{5}}{4 + 8\,n^{4} + n^{5}}\right) ","\lim_{n \to \infty } \frac{3\,n^{6}}{3-4\,n + 4\,n^{6}} + \lim_{n \to \infty } \frac{5\,n^{5}}{4 + 8\,n^{4} + n^{5}}"
1,n > 5,"\lim_{n \to \infty } \left(\frac{5\,n^{7}}{2 + 6\,n^{6}-4\,n^{7}} + \frac{2\,n^{6}}{8-6\,n^{5} + 3\,n^{6}}\right) ","\lim_{n \to \infty } \frac{5\,n^{7}}{2 + 6\,\left( n^{6}\right)^{7\,n \to \infty }} + \lim_{n \to \infty } \frac{2\,n^{6}}{8-6\,n^{5} + 3\,n^{6}}"
1,n > 5,"\lim_{n \to \infty } \frac{5\,n^{7}}{2 + 6\,\left( n^{6}\right)^{7\,n \to \infty }} + \lim_{n \to \infty } \frac{2\,n^{6}}{8-6\,n^{5} + 3\,n^{6}}","\lim_{n \to \infty } \frac{n^{7} \cdot 5}{n^{7}\,(2\,n^{-7} + 6\,n^{-1}-4)} + \lim_{n \to \infty } \frac{n^{6} \cdot 2}{n^{6}\,(8\,n^{-6}-6\,n^{-1} + 3)}"
2,\left( y\ge 18\right) \wedge \left( x\le -1\right),\frac{y}{3} + \frac{1}{4} = \left( x-\frac{3}{2}\right)^{2},\sqrt{\frac{y}{3} + \frac{1}{4}} = x-\frac{3}{2}
1,n > 5,"\lim_{n \to \infty } \frac{n^{4}}{3 + 6\,n^{3} + 7\,n^{4}} + \lim_{n \to \infty } \frac{4\,n^{6}}{7 + n^{5} + 8\,n^{6}}",\frac{1}{7} + \frac{1}{2}
