category,assumptions,t0,t1
2,\textrm{wahr},\left( \left|x + 6\right| -3 = 2\right) \vee \left( \left|x + 6\right| -3 = -2\right),\left( \left|x + 6\right|  = 5\right) \vee \left( \left|x + 6\right|  = -1\right)
2,\textrm{wahr},"\left|4\,x + 5\right| \le 2",\left|x + \frac{5}{4}\right| \le \frac{5}{4}
2,\textrm{wahr},\left|\left|x + 6\right| -3\right|  = 2,\left|x + 6\right| -3 = 2
2,\textrm{wahr},"x^{2} + 5\,x + \frac{25}{4}\ge \frac{9}{4}",x + \frac{5}{2}\ge \frac{9}{4}
2,\textrm{wahr},x + \frac{5}{2}\ge \frac{9}{4},\left|x + \frac{5}{2}\right| \ge 1
2,\left( x\neq 1\right) \wedge \left( x > 1\right),"\frac{6\,x + 7}{6\,x-6} > 4","6\,x + 7 > 6\,x + 10"
2,\left( x\neq 1\right) \wedge \left( x < -1\right),"\frac{6\,x + 7}{6\,x-6} > 4","6\,x + 7 > 6\,x + 10"
2,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","2\,x-2-7\,x + 1 = 2"
2,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"2\,x-2-7\,x + 1 = 2","-5\,x = -1"
2,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","-2\,x + 2-7\,x + 1 = 2"
2,\textrm{wahr},"3\,h-2 < -h + x","4\,h < y + 2"
2,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","2\,x-2 + -7\,x + 1 = 2"
2,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"2\,x-2 + -7\,x + 1 = 2","-5\,x = -1"
2,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","2\,x-2 + (7\,x-1)\,(-1) = 2"
2,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"2\,x-2 + (7\,x-1)\,(-1) = 2","-5\,x = -1"
2,x\neq -1,"\frac{3\,x + 8}{3\,x + 3} < 3","3\,x + 8 < 3\,x + 3"
